,ALL,LSTM_K,LSTM_per
0,0.009301142,0.005891241,0.007510994
1,0.006907368,0.002961259,0.003187319
2,0.017740183,0.007524036,0.007986224
3,0.017154672,0.014309575,0.014162786
4,0.021633055,0.014271612,0.01506785
5,0.014626869,0.008523641,0.009585995
6,0.014903777,0.009416321,0.010443756
7,0.008402628,0.005802247,0.006421222
8,0.012510306,0.00630796,0.007945172
9,0.006903941,0.004659021,0.005069958
10,0.012208603,0.006771791,0.007855264
11,0.009202469,0.006190948,0.006327763
12,0.010481391,0.007244425,0.009580538
13,0.024403241,0.009899117,0.010616217
14,0.020998408,0.009312174,0.010216774
15,0.013614201,0.007229936,0.007655105
16,0.011560154,0.003128787,0.002894093
17,0.021461596,0.011999296,0.012321292
18,0.007424075,0.002171943,0.001968578
19,0.019556248,0.008204998,0.009066176
20,0.010008732,0.0028766,0.002854781
21,0.011438266,0.006104855,0.006348494
22,0.006779429,0.002959823,0.002594318
23,0.028598343,0.012302551,0.012039274
24,0.007823982,0.004220194,0.005520254
25,0.00505169,0.003350802,0.003820044
26,0.015039203,0.008069183,0.00806318
27,0.004112086,0.002847861,0.002860464
28,0.011620306,0.005637507,0.006399768
29,0.018946429,0.009919866,0.011739698
30,0.006815403,0.005896479,0.004558798
31,0.013172179,0.006138653,0.007225572
32,0.003508204,0.002053415,0.002312372
33,0.00514717,0.002370303,0.00237736
34,0.009541283,0.004219464,0.00475195
35,0.032816554,0.018445689,0.017740727
36,0.011487018,0.00749029,0.008423659
37,0.020157223,0.009929774,0.010386897
38,0.008797534,0.005355708,0.006135429
39,0.01074803,0.00633826,0.006520034
40,0.019773831,0.007495228,0.008896426
41,0.010418739,0.005709015,0.006101879
42,0.010651084,0.009185682,0.011059694
43,0.014104112,0.007446268,0.007512537
44,0.008473803,0.005052156,0.005476451
45,0.011476372,0.006576403,0.007379125
46,0.002697553,0.001773467,0.00208071
47,0.009747626,0.003942583,0.005212754
48,0.011498023,0.008373461,0.009474329
49,0.006150467,0.002131103,0.002308663
50,0.00846921,0.007337712,0.007290729
51,0.016105102,0.008383814,0.009536744
52,0.019890192,0.015355651,0.01698808
53,0.016650734,0.003094915,0.003294818
54,0.010182431,0.006973017,0.007708868
55,0.013135645,0.007260525,0.007509688
56,0.007351774,0.00368263,0.00413549
57,0.004535914,0.001798753,0.002153275
,0.01248131,0.006722758,0.007287524
